,ip.ttl,tcp.window_size,probability
0,55,5840,0.5
1,56,5840,0.5
2,57,5840,0.5
3,58,5840,0.5
4,59,5840,0.5
5,60,5840,0.5
6,61,5840,0.5
7,62,5840,0.5
8,63,5840,0.5
9,64,5840,0.5
10,55,,0.24
11,56,,0.24
12,57,,0.24
13,58,,0.24
14,59,,0.24
15,60,,0.24
16,61,,0.24
17,62,,0.24
18,63,,0.24
19,64,,0.24
20,,5840,0.24
21,,,0.02
