frame_info.encap_type,frame_info.time,frame_info.time_epoch,frame_info.number,frame_info.len,frame_info.cap_len,eth.type,ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val
1,"Feb 23, 2021 20:22:40.951083000 CST",1614133360.951083000,31,101,101,0x00000800,4,20,,0x00000000,0x00000040,0,1,0,0,64,6,0x0000bcdd,10.0.0.22,52.202.62.228,87,0x00000000,61400,443,1,1,35,32,0x00000018,0,0,0,1,1,0,0,2048,0x00009a5e,0,
1,"Feb 23, 2021 20:22:41.004309000 CST",1614133361.004309000,32,97,97,0x00000800,4,20,,0x0000b781,0x00000040,0,1,0,0,40,6,0x00001d60,52.202.62.228,10.0.0.22,83,0x00000000,443,61400,1,36,31,32,0x00000018,0,0,0,1,1,0,0,8,0x0000d63a,0,
1,"Feb 23, 2021 20:22:41.004448000 CST",1614133361.004448000,33,66,66,0x00000800,4,20,,0x00000000,0x00000040,0,1,0,0,64,6,0x0000bd00,10.0.0.22,52.202.62.228,52,0x00000000,61400,443,36,32,0,32,0x00000010,0,0,0,0,1,0,0,2047,0x0000de7c,0,
1,"Feb 23, 2021 20:22:42.031864000 CST",1614133362.031864000,35,66,66,0x00000800,4,20,,0x00000000,0x00000040,0,1,0,0,64,6,0x000054c3,10.0.0.22,151.101.68.134,52,0x00000000,62687,443,1,1,0,32,0x00000011,1,0,0,0,1,0,0,2056,0x000084e5,0,
1,"Feb 23, 2021 20:22:42.031997000 CST",1614133362.031997000,36,54,54,0x00000800,4,20,,0x00000000,0x00000040,0,1,0,0,64,6,0x00005b70,10.0.0.22,103.42.110.32,40,0x00000000,62686,443,1,1,0,20,0x00000014,0,0,1,0,1,0,0,2047,0x0000e39a,0,
1,"Feb 23, 2021 20:22:42.032201000 CST",1614133362.032201000,37,78,78,0x00000800,4,20,,0x00000000,0x00000040,0,1,0,0,64,6,0x00002678,10.0.0.22,10.0.0.43,64,0x00000000,62733,80,0,0,0,44,0x00000002,0,1,0,0,0,0,0,65535,0x0000b65b,0,1460
1,"Feb 23, 2021 20:22:42.040326000 CST",1614133362.040326000,38,74,74,0x00000800,4,20,,0x00000000,0x00000040,0,1,0,0,64,6,0x0000267c,10.0.0.43,10.0.0.22,60,0x00000000,80,62733,0,1,0,40,0x00000012,0,1,0,0,1,0,0,65160,0x00003d10,0,1460
1,"Feb 23, 2021 20:22:42.040413000 CST",1614133362.040413000,39,66,66,0x00000800,4,20,,0x00000000,0x00000040,0,1,0,0,64,6,0x00002684,10.0.0.22,10.0.0.43,52,0x00000000,62733,80,1,1,0,32,0x00000010,0,0,0,0,1,0,0,131712,0x00006253,0,
1,"Feb 23, 2021 20:22:42.040607000 CST",1614133362.040607000,40,625,625,0x00000800,4,20,,0x00000000,0x00000040,0,1,0,0,64,6,0x00002455,10.0.0.22,10.0.0.43,611,0x00000000,62733,80,1,1,559,32,0x00000018,0,0,0,1,1,0,0,131712,0x000065dd,0,
1,"Feb 23, 2021 20:22:42.044503000 CST",1614133362.044503000,41,66,66,0x00000800,4,20,,0x0000ce6c,0x00000040,0,1,0,0,64,6,0x00005817,10.0.0.43,10.0.0.22,52,0x00000000,80,62733,1,560,0,32,0x00000010,0,0,0,0,1,0,0,64640,0x00006632,0,
